wl	n
0.205289	2.07139317845
0.205763	2.0768856249
0.206237	2.0824098821
0.206712	2.08796642187
0.207189	2.09355577465
0.207666	2.09917852835
0.208145	2.10483532716
0.208625	2.11052687006
0.209106	2.11625390925
0.209588	2.12201724836
0.210071	2.12781774049
0.210555	2.13365628619
0.211041	2.13953383114
0.211527	2.14545136383
0.212015	2.15140991301
0.212504	2.15741054511
0.212993	2.16345436142
0.213484	2.16954249526
0.213977	2.17567610901
0.21447	2.18185639106
0.214964	2.18808455262
0.21546	2.19436182452
0.215957	2.20068945389
0.216454	2.20706870081
0.216953	2.21350083484
0.217453	2.21998713156
0.217955	2.22652886905
0.218457	2.23312732428
0.218961	2.23978376953
0.219466	2.24649946872
0.219971	2.25327567378
0.220479	2.26011362094
0.220987	2.26701452703
0.221496	2.27397958575
0.222007	2.28100996399
0.222519	2.28810679803
0.223032	2.29527118987
0.223546	2.30250420344
0.224061	2.30980686095
0.224578	2.31718013907
0.225095	2.3246249653
0.225614	2.33214221421
0.226134	2.33973270381
0.226656	2.3473971918
0.227178	2.35513637198
0.227702	2.3629508706
0.228227	2.37084124274
0.228753	2.3788079687
0.22928	2.38685145051
0.229809	2.39497200832
0.230338	2.40316987696
0.230869	2.41144520249
0.231402	2.41979803872
0.231935	2.42822834391
0.23247	2.43673597739
0.233006	2.44532069631
0.233543	2.45398215244
0.234081	2.46271988897
0.234621	2.47153333748
0.235162	2.48042181487
0.235704	2.4893845205
0.236247	2.49842053326
0.236792	2.50752880892
0.237337	2.5167081774
0.237885	2.5259573403
0.238433	2.53527486846
0.238983	2.54465919969
0.239534	2.55410863662
0.240086	2.56362134472
0.240639	2.57319535051
0.241194	2.58282853983
0.24175	2.59251865647
0.242307	2.60226330082
0.242866	2.61205992886
0.243426	2.62190585131
0.243987	2.63179823304
0.244549	2.64173409272
0.245113	2.65171030271
0.245678	2.66172358926
0.246244	2.67177053301
0.246812	2.68184756972
0.247381	2.69195099139
0.247951	2.70207694766
0.248523	2.71222144754
0.249096	2.72238036155
0.24967	2.73254942414
0.250246	2.74272423653
0.250822	2.75290026988
0.251401	2.76307286889
0.25198	2.77323725578
0.252561	2.78338853462
0.253143	2.7935216961
0.253727	2.80363162271
0.254312	2.81371309425
0.254898	2.82376079385
0.255486	2.83376931424
0.256074	2.84373316455
0.256665	2.8536467774
0.257256	2.86350451636
0.25785	2.87330068387
0.258444	2.88302952937
0.25904	2.89268525783
0.259637	2.90226203861
0.260235	2.91175401457
0.260835	2.92115531145
0.261437	2.93046004755
0.262039	2.9396623435
0.262643	2.94875633238
0.263249	2.95773616989
0.263856	2.96659604465
0.264464	2.97533018862
0.265073	2.98393288758
0.265685	2.99239849163
0.266297	3.0007214256
0.266911	3.00889619954
0.267526	3.01691741897
0.268143	3.02477979512
0.268761	3.03247815488
0.269381	3.04000745068
0.270002	3.04736276996
0.270624	3.0545393445
0.271248	3.06153255935
0.271873	3.06833796136
0.2725	3.07495126747
0.273128	3.08136837242
0.273758	3.08758535606
0.274389	3.09359849026
0.275021	3.09940424516
0.275655	3.10499929505
0.276291	3.11038052359
0.276928	3.11554502855
0.277566	3.12049012589
0.278206	3.1252133533
0.278847	3.12971247319
0.27949	3.13398547495
0.280134	3.13803057676
0.28078	3.14184622667
0.281427	3.14543110318
0.282076	3.14878411515
0.282726	3.15190440122
0.283378	3.15479132858
0.284031	3.15744449127
0.284686	3.15986370784
0.285342	3.16204901863
0.286	3.16400068247
0.286659	3.16571917295
0.28732	3.16720517419
0.287983	3.16845957633
0.288647	3.16948347048
0.289312	3.17027814343
0.289979	3.17084507193
0.290647	3.17118591682
0.291317	3.17130251671
0.291989	3.17119688157
0.292662	3.17087118608
0.293337	3.17032776272
0.294013	3.16956909484
0.294691	3.16859780954
0.29537	3.16741667044
0.296051	3.16602857047
0.296733	3.16443652453
0.297417	3.1626436622
0.298103	3.16065322043
0.29879	3.15846853628
0.299479	3.15609303971
0.300169	3.15353024639
0.300861	3.1507837507
0.301555	3.14785721875
0.30225	3.1447543815
0.302947	3.14147902812
0.303645	3.13803499934
0.304345	3.13442618103
0.305047	3.13065649795
0.30575	3.12672990755
0.306455	3.12265039398
0.307161	3.11842196228
0.307869	3.11404863262
0.308579	3.10953443472
0.30929	3.10488340237
0.310003	3.10009956805
0.310718	3.0951869576
0.311434	3.09014958494
0.312152	3.08499144685
0.312872	3.07971651765
0.313593	3.07432874391
0.314316	3.06883203904
0.31504	3.06323027782
0.315767	3.05752729085
0.316495	3.05172685886
0.317224	3.04583270704
0.317955	3.03984849947
0.318688	3.03377783372
0.319423	3.0276242359
0.320159	3.02139115652
0.320897	3.01508196745
0.321637	3.00869996062
0.322379	3.00224834896
0.323122	2.99573027043
0.323867	2.98914879585
0.324613	2.98250694147
0.325362	2.97580768707
0.326112	2.9690540005
0.326863	2.96224886924
0.327617	2.95539533946
0.328372	2.94849656266
0.329129	2.94155584944
0.329888	2.93457672967
0.330648	2.92756301719
0.331411	2.92051887709
0.332175	2.91344889226
0.33294	2.90635812588
0.333708	2.89925217529
0.334477	2.89213721287
0.335248	2.88502000905
0.336021	2.87790793277
0.336796	2.87080892542
0.337572	2.86373144484
0.33835	2.8566843776
0.33913	2.84967691898
0.339912	2.84271842239
0.340695	2.83581822167
0.341481	2.82898543205
0.342268	2.82222873751
0.343057	2.81555617398
0.343848	2.80897491927
0.34464	2.80249110136
0.345435	2.7961096368
0.346231	2.78983411046
0.347029	2.78366670675
0.347829	2.77760820039
0.348631	2.77165801298
0.349435	2.76581433907
0.35024	2.76007434341
0.351048	2.75443443043
0.351857	2.74889058735
0.352668	2.74343880809
0.353481	2.73807561951
0.354296	2.73279877079
0.355113	2.72760826754
0.355931	2.72250844137
0.356752	2.7175173749
0.357574	2.71265044929
0.358399	2.7078831051
0.359225	2.70320139136
0.360053	2.69859474369
0.360883	2.69405461848
0.361715	2.68957420578
0.362549	2.68514829618
0.363384	2.68077315511
0.364222	2.67644637484
0.365062	2.67216670348
0.365903	2.66793385783
0.366747	2.66374832918
0.367592	2.65961119049
0.36844	2.65552391295
0.369289	2.65148819756
0.37014	2.64750582659
0.370994	2.64357853765
0.371849	2.63970792169
0.372706	2.63589534529
0.373565	2.63214189593
0.374426	2.62844834864
0.375289	2.62481515129
0.376155	2.62124242588
0.377022	2.61772998263
0.377891	2.61427734384
0.378762	2.61088377468
0.379635	2.60754831827
0.38051	2.60426983275
0.381387	2.60104702842
0.382267	2.59787850354
0.383148	2.59476277754
0.384031	2.59169832097
0.384916	2.5886835817
0.385804	2.5857170072
0.386693	2.58279706281
0.387584	2.57992224644
0.388478	2.57709109966
0.389373	2.57430221583
0.390271	2.57155424553
0.391171	2.56884589975
0.392072	2.56617595124
0.392976	2.56354323439
0.393882	2.56094664404
0.39479	2.55838513335
0.3957	2.55585771123
0.396612	2.55336343933
0.397527	2.55090142884
0.398443	2.54847083727
0.399362	2.54607086518
0.400282	2.54370075313
0.401205	2.54135977867
0.40213	2.53904725358
0.403057	2.53676252132
0.403986	2.53450495461
0.404917	2.53227395329
0.405851	2.53006894234
0.406786	2.5278893701
0.407724	2.52573470659
0.408664	2.52360444211
0.409606	2.52149808587
0.41055	2.51941516479
0.411497	2.5173552224
0.412445	2.51531781789
0.413396	2.51330252514
0.414349	2.51130893196
0.415304	2.5093366393
0.416262	2.50738526058
0.417221	2.50545442105
0.418183	2.50354375719
0.419147	2.5016529162
0.420113	2.49978155546
0.421082	2.4979293421
0.422052	2.49609595256
0.423025	2.49428107214
0.424	2.49248439471
0.424978	2.49070562226
0.425958	2.48894446463
0.426939	2.48720063917
0.427924	2.48547387048
0.42891	2.48376389005
0.429899	2.4820704361
0.43089	2.48039325325
0.431883	2.47873209235
0.432879	2.47708671018
0.433877	2.47545686933
0.434877	2.4738423379
0.435879	2.47224288939
0.436884	2.47065830249
0.437891	2.46908836089
0.438901	2.46753285312
0.439913	2.46599157241
0.440927	2.46446431653
0.441943	2.46295088765
0.442962	2.46145109217
0.443983	2.45996474064
0.445006	2.45849164759
0.446032	2.45703163145
0.447061	2.45558451439
0.448091	2.45415012222
0.449124	2.45272828433
0.450159	2.4513188335
0.451197	2.4499216059
0.452237	2.44853644092
0.45328	2.4471631811
0.454325	2.44580167205
0.455372	2.44445176238
0.456422	2.44311330359
0.457474	2.44178614999
0.458528	2.44047015866
0.459585	2.43916518933
0.460645	2.43787110437
0.461707	2.43658776863
0.462771	2.4353150495
0.463838	2.43405281672
0.464907	2.4328009424
0.465979	2.43155930093
0.467053	2.43032776896
0.46813	2.42910622526
0.469209	2.42789455078
0.470291	2.42669262849
0.471375	2.42550034342
0.472461	2.42431758254
0.473551	2.42314423476
0.474642	2.42198019087
0.475736	2.4208253435
0.476833	2.41967958706
0.477932	2.41854281771
0.479034	2.41741493333
0.480138	2.41629583348
0.481245	2.41518541933
0.482354	2.41408359367
0.483466	2.41299026084
0.484581	2.41190532671
0.485698	2.41082869864
0.486818	2.40976028547
0.48794	2.40869999744
0.489065	2.40764774622
0.490192	2.40660344483
0.491322	2.40556700762
0.492455	2.40453835028
0.49359	2.40351738977
0.494728	2.4025040443
0.495868	2.40149823331
0.497011	2.40049987747
0.498157	2.39950889861
0.499305	2.39852521972
0.500456	2.39754876493
0.50161	2.39657945947
0.502766	2.39561722968
0.503925	2.39466200294
0.505087	2.39371370769
0.506251	2.39277227341
0.507419	2.39183763056
0.508588	2.39090971059
0.509761	2.38998844594
0.510936	2.38907376998
0.512114	2.38816561701
0.513294	2.38726392224
0.514477	2.3863686218
0.515663	2.38547965267
0.516852	2.3845969527
0.518044	2.38372046059
0.519238	2.38285011588
0.520435	2.38198585892
0.521635	2.38112763084
0.522837	2.38027537359
0.524042	2.37942902986
0.52525	2.37858854312
0.526461	2.37775385758
0.527675	2.37692491818
0.528891	2.37610167057
0.53011	2.37528406112
0.531332	2.37447203689
0.532557	2.3736655456
0.533785	2.37286453567
0.535015	2.37206895617
0.536249	2.37127875679
0.537485	2.3704938879
0.538724	2.36971430045
